iso3,year,population_total,gdp_current_usd,gdp_real_growth_pct,life_expectancy_years,maternal_mortality_ratio,population_growth_pct,gdp_per_capita_usd,dev_index,decade
BEN,2011,10093623,10693321363.6574,2.96375291904201,58.462,613.0,3.022602537549446,1059.413588525884,0.6610310449676168,2010
BEN,2012,10397657,11141358115.8991,4.811223315688,58.559,618.0,3.0121394468566987,1071.5258366282999,0.6626246887245293,2010
BEN,2013,10708834,12517845123.9315,7.19143372144946,58.863,607.0,2.992760772931824,1168.9269927922592,0.691586518118256,2010
BEN,2014,11030004,13284527846.9081,6.35767909791932,59.008,605.0,2.9991126951823155,1204.3991867009386,0.7015872689108388,2010
BEN,2015,11360681,11388160996.7738,1.77815106030278,59.123,606.0,2.9979771539520694,1002.4188687961399,0.6536068979343493,2010
BEN,2016,11697842,11821065853.3838,3.33967342629693,59.283,604.0,2.9677886387268426,1010.5338961992991,0.657155414498527,2010
BEN,2017,12039780,12701655836.9467,5.67156195150444,59.528,592.0,2.9230861555490373,1054.9740806681434,0.6735097346410391,2010
BEN,2018,12383347,14262408089.9261,6.69725362180888,59.71,585.0,2.8535986537959968,1151.740970347201,0.700185716495279,2010
BEN,2019,12726755,14391686313.4641,6.86568662848335,59.888,572.0,2.7731436420218136,1130.8213533979479,0.7009270765339939,2010
BEN,2020,13070169,15686741893.5187,3.84879240030133,60.154,578.0,2.698362622679551,1200.1942663112236,0.7167585782462833,2020
BEN,2021,13413417,17687623534.6665,7.1554516457574,59.61,584.0,2.626194045386865,1318.651581074867,0.739871643260392,2020
BEN,2022,13759501,17425405083.8797,6.25294705373625,60.475,547.0,2.5801330115957866,1266.4271098115912,0.7456948236666753,2020
BEN,2023,14111034,19673290995.8491,6.3527773854442,60.774,518.0,2.5548382895571597,1394.1778466304522,0.7884719070391745,2020
BEN,2024,14462724,21482643720.2743,7.45311566226201,,,2.49230495794992,1485.3801898089391,0.6666666666666666,2020
